player_id,player_name,team_id,team_name,league_id,season,minutes_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,fouls_per_90
9709,Matheus Alexandre,123,Sport Recife,73,2026,0,0,0,0,0,0.0
9709,Matheus Alexandre,1198,Remo,73,2026,15,0,0,0,0,0.0
10258,Clayson,123,Sport Recife,73,2026,0,0,0,0,0,0.0
106517,Lucas Hipólito,1214,Portuguesa,73,2026,0,0,0,0,0,0.0
125677,Zé Gabriel,123,Sport Recife,73,2026,0,0,0,1,0,0.0
196310,Matheus Cadorini,1214,Portuguesa,73,2026,0,0,0,0,0,0.0
198327,Halls,123,Sport Recife,73,2026,0,0,0,0,0,0.0
306213,Max,123,Sport Recife,73,2026,0,0,0,0,0,0.0
306213,Max,132,Chapecoense-sc,73,2026,121,1,1,0,1,0.74
313974,Mateus Müller,1214,Portuguesa,73,2026,0,0,0,0,0,0.0
404790,Cauari,1214,Portuguesa,73,2026,0,0,0,0,0,0.0
415084,Felipe Longo,131,Corinthians,73,2026,0,0,0,0,0,0.0
443088,Julio Fidelis,124,Fluminense,73,2026,0,0,0,0,0,0.0
504956,Rafinha,123,Sport Recife,73,2026,0,0,0,0,0,0.0
515671,Wesley Natã,124,Fluminense,73,2026,0,0,0,0,0,0.0
576707,Vitao,18271,Barra,73,2026,0,0,0,0,0,0.0
632457,Joao Paulo,1214,Portuguesa,73,2026,0,0,0,1,0,0.0
641618,Wellington,1214,Portuguesa,73,2026,0,0,0,0,0,0.0
643916,Michel Soares Santos,18298,América SE,73,2026,0,0,0,0,0,0.0
646501,Carlinhos Rocha,13124,Castanhal,73,2026,0,0,0,0,0,0.0
646502,Vinicius Torres,13124,Castanhal,73,2026,0,0,0,0,0,0.0
658146,Lopes Feitosa Gabriel,10858,Oratório,73,2026,0,0,0,0,0,0.0
9221,Bruno José,144,Atletico Goianiense,73,2026,92,1,2,1,0,0.98
9717,Igor Henrique,144,Atletico Goianiense,73,2026,166,3,7,2,0,1.63
10264,Diogo Silva,139,Ponte Preta,73,2026,90,0,0,0,0,0.0
10508,Vladimir,144,Atletico Goianiense,73,2026,0,0,0,0,0,0.0
10574,Marrony,144,Atletico Goianiense,73,2026,243,6,4,1,0,2.22
34405,Ricardo Lopes,2233,America-RN,73,2026,0,0,0,0,0,0.0
50081,David Braz,139,Ponte Preta,73,2026,55,0,0,1,0,0.0
51589,K. Ramírez,144,Atletico Goianiense,73,2026,66,0,0,0,0,0.0
106449,Jean Dias,144,Atletico Goianiense,73,2026,45,1,1,0,0,2.0
