player_id,player_name,team_id,team_name,league_id,season,minutes_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,fouls_per_90
38822,T. Oosting,202,Groningen,88,2025,397,6,4,0,0,1.36
38822,T. Oosting,193,PEC Zwolle,88,2025,2652,34,23,3,0,1.15
57443,S. Mannsverk,194,Ajax,88,2025,0,0,0,0,0,0.0
129047,R. Zerrouki,209,Feyenoord,88,2025,498,8,3,0,0,1.45
129047,R. Zerrouki,415,Twente,88,2025,2667,41,21,2,1,1.38
134756,N. Kasanwirjo,209,Feyenoord,88,2025,0,0,0,0,0,0.0
134756,N. Kasanwirjo,205,Fortuna Sittard,88,2025,1320,10,17,1,0,0.68
161956,K. Belić,201,AZ Alkmaar,88,2025,0,0,0,0,0,0.0
266200,M. Lahdo,201,AZ Alkmaar,88,2025,91,3,3,1,0,2.97
272723,M. Hilgers,415,Twente,88,2025,0,0,0,0,0,0.0
297583,J. Mitchell,209,Feyenoord,88,2025,0,0,0,0,0,0.0
325365,L. Everink,410,GO Ahead Eagles,88,2025,70,2,1,1,0,2.57
328141,T. Beelen,209,Feyenoord,88,2025,0,0,0,0,0,0.0
338499,T. de Graaff,207,Utrecht,88,2025,450,0,0,0,0,0.0
338499,T. de Graaff,193,PEC Zwolle,88,2025,2790,0,5,0,0,0.0
350641,I. Jenner,207,Utrecht,88,2025,52,1,0,0,0,1.73
353732,Jan Faberski,194,Ajax,88,2025,32,0,4,0,0,0.0
353732,Jan Faberski,193,PEC Zwolle,88,2025,509,6,18,1,1,1.06
407365,S. Carrillo,209,Feyenoord,88,2025,214,6,3,1,0,2.52
420932,F. Turay,202,Groningen,88,2025,15,0,0,0,0,0.0
444020,Boaz Broekmans,205,Fortuna Sittard,88,2025,0,0,0,0,0,0.0
467814,Ramazan Bayram,205,Fortuna Sittard,88,2025,0,0,0,0,0,0.0
510804,Jessy Lobbes,427,Telstar,88,2025,0,0,0,0,0,0.0
528295,M. Hoekstra,202,Groningen,88,2025,0,0,0,0,0,0.0
528299,S. de Laat,413,NEC Nijmegen,88,2025,0,0,0,0,0,0.0
536,D. Sinkgraven,205,Fortuna Sittard,88,2025,0,0,0,0,0,0.0
6386,J. Carranza,209,Feyenoord,88,2025,21,1,0,0,0,4.29
37259,D. Van den Buijs,414,Roda,88,2025,117,2,0,0,0,1.54
37743,M. Tol,414,Roda,88,2025,210,0,0,0,0,0.0
38126,D. van Kaam,417,Waalwijk,88,2025,32,0,0,0,0,0.0
38126,D. van Kaam,206,Heracles,88,2025,0,0,0,0,0,0.0
162554,L. Beerten,414,Roda,88,2025,210,4,7,0,0,1.71
178388,J. Müller,414,Roda,88,2025,158,2,1,0,0,1.14
203765,J. Kruiver,414,Roda,88,2025,210,5,0,0,0,2.14
280456,J. Treichel,414,Roda,88,2025,210,0,0,0,0,0.0
309762,K. Jansen,414,Roda,88,2025,194,0,1,0,0,0.0
314007,M. de Haan,419,Almere City FC,88,2025,154,1,3,0,0,0.58
314007,M. de Haan,416,FC Volendam,88,2025,28,0,0,0,0,0.0
320418,Pepijn Reulen,203,NAC Breda,88,2025,9,0,0,0,0,0.0
343154,Lennard Becker,193,PEC Zwolle,88,2025,0,0,0,0,0,0.0
453713,B. Nagel,415,Twente,88,2025,0,0,0,0,0,0.0
480302,Martijn Overmars,413,NEC Nijmegen,88,2025,0,0,0,0,0,0.0
489932,Anass Bouziane,416,FC Volendam,88,2025,0,0,0,0,0,0.0
525881,Robin van Cruijsen,416,FC Volendam,88,2025,72,1,0,0,0,1.25
526685,Julien Nota,203,NAC Breda,88,2025,0,0,0,0,0,0.0
527911,Yassin Moslih,413,NEC Nijmegen,88,2025,0,0,0,0,0,0.0
598996,Melle Roede,206,Heracles,88,2025,0,0,0,0,0,0.0
223,Y. van Osch,417,Waalwijk,88,2025,210,0,0,0,0,0.0
7049,J. Nisbet,414,Roda,88,2025,210,3,4,0,0,1.29
35987,Daniel Lajud,414,Roda,88,2025,16,0,0,0,0,0.0
37066,R. van Eijma,417,Waalwijk,88,2025,210,5,3,0,0,2.14
37075,M. Paulissen,414,Roda,88,2025,36,0,0,0,0,0.0
38127,M. Breij,414,Roda,88,2025,151,1,3,1,0,0.6
38742,L. van Gelderen,417,Waalwijk,88,2025,210,0,3,0,0,0.0
