player_id,player_name,team_id,team_name,league_id,season,minutes_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,fouls_per_90
660,Pape Cheikh,797,Elche,140,2022,35,3,0,1,1,7.71
1560,Barragán,797,Elche,140,2022,0,0,0,0,0,0.0
1682,Sergio Asenjo,720,Valladolid,140,2022,900,0,4,0,0,0.0
2047,Aleix Vidal,540,Espanyol,140,2022,1020,23,17,9,0,2.03
46665,Iñigo Pérez,727,Osasuna,140,2022,0,0,0,0,0,0.0
46665,Iñigo Pérez,728,Rayo Vallecano,140,2022,0,0,0,0,0,0.0
46950,David Mayoral,724,Cadiz,140,2022,0,0,0,0,0,0.0
47095,Nano,724,Cadiz,140,2022,0,0,0,0,0,0.0
47272,Balenziaga,531,Athletic Club,140,2022,114,3,0,0,0,2.37
47282,Raúl García,531,Athletic Club,140,2022,945,14,19,4,0,1.33
47335,Dídac Vilá Rosselló,540,Espanyol,140,2022,0,0,0,0,0,0.0
47342,Víctor Sánchez Mata,547,Girona,140,2022,0,0,0,0,0,0.0
47515,Borja García,547,Girona,140,2022,685,4,20,1,0,0.53
177587,M. Herzig,536,Sevilla,140,2022,0,0,0,0,0,0.0
181211,Genar Fornés,724,Cadiz,140,2022,0,0,0,0,0,0.0
305797,Enrique Fernández,543,Real Betis,140,2022,0,0,0,0,0,0.0
348539,Unai Hernández,547,Girona,140,2022,0,0,0,0,0,0.0
348539,Unai Hernández,529,Barcelona,140,2022,0,0,0,0,0,0.0
363331,Juan Martín Ginzo,530,Atletico Madrid,140,2022,0,0,0,0,0,0.0
364416,Jesús,797,Elche,140,2022,0,0,0,0,0,0.0
386859,Héctor Fort,529,Barcelona,140,2022,0,0,0,0,0,0.0
392455,Germán García,543,Real Betis,140,2022,0,0,0,0,0,0.0
1583,Sergio León,720,Valladolid,140,2022,1330,8,22,0,1,0.54
46772,José Mari,724,Cadiz,140,2022,385,6,7,4,0,1.4
46775,Salvi,728,Rayo Vallecano,140,2022,474,8,10,2,0,1.52
46922,J. Narváez,720,Valladolid,140,2022,147,1,9,0,0,0.61
47041,Alberto Perea,724,Cadiz,140,2022,46,0,2,0,0,0.0
47274,Capa,531,Athletic Club,140,2022,103,4,0,1,0,3.5
47310,Illarramendi,548,Real Sociedad,140,2022,1076,25,13,5,0,2.09
47474,Jordi Masip,720,Valladolid,140,2022,2508,0,5,4,0,0.0
107207,Mario Hernández,728,Rayo Vallecano,140,2022,102,1,1,1,0,0.88
144261,Carlos García-Die,724,Cadiz,140,2022,24,0,0,0,0,0.0
162530,Sergio Santos,541,Real Madrid,140,2022,0,0,0,0,0,0.0
195918,Diego Moreno,727,Osasuna,140,2022,636,3,4,1,0,0.42
286643,Koffi,546,Getafe,140,2022,0,0,0,0,0,0.0
286798,Fran López,538,Celta Vigo,140,2022,0,0,0,0,0,0.0
287177,Adrián Corral,530,Atletico Madrid,140,2022,0,0,0,0,0,0.0
317418,M. Fall,533,Villarreal,140,2022,29,1,0,0,0,3.1
331003,Roberto Arroyo,720,Valladolid,140,2022,14,0,0,0,0,0.0
336557,Aleix Garrido,529,Barcelona,140,2022,6,0,0,0,0,0.0
348329,Pablo Ramírez,546,Getafe,140,2022,0,0,0,0,0,0.0
400020,Luismi Quirant,797,Elche,140,2022,0,0,0,0,0,0.0
46700,Darío,727,Osasuna,140,2022,0,0,0,0,0,0.0
162449,Charlie Pérez,532,Valencia,140,2022,0,0,0,0,0,0.0
162605,Javi Domínguez,538,Celta Vigo,140,2022,0,0,0,0,0,0.0
163447,José Lara,543,Real Betis,140,2022,0,0,0,0,0,0.0
182664,Gaizka Ayesa,548,Real Sociedad,140,2022,0,0,0,0,0,0.0
182713,Diego Fuoli,723,Almeria,140,2022,0,0,0,0,0,0.0
192024,L. Spatz,724,Cadiz,140,2022,0,0,0,0,0,0.0
208670,Diego Bri,530,Atletico Madrid,140,2022,0,0,0,0,0,0.0
264469,Pablo Pérez,536,Sevilla,140,2022,0,0,0,0,0,0.0
286620,Joan Puig,540,Espanyol,140,2022,0,0,0,0,0,0.0
289788,Yoel Ramírez,727,Osasuna,140,2022,0,0,0,0,0,0.0
313026,Luis Bilbao,531,Athletic Club,140,2022,0,0,0,0,0,0.0
327552,Nando,724,Cadiz,140,2022,0,0,0,0,0,0.0
334575,Diego Piñeiro,541,Real Madrid,140,2022,0,0,0,0,0,0.0
336681,Sergio Díez,530,Atletico Madrid,140,2022,0,0,0,0,0,0.0
347886,Félix Garreta,543,Real Betis,140,2022,90,2,1,0,0,2.0
351235,Kikín,724,Cadiz,140,2022,0,0,0,0,0,0.0
377197,Pablo Muñoz,728,Rayo Vallecano,140,2022,10,2,1,0,0,18.0
384266,Junior Bita,531,Athletic Club,140,2022,0,0,0,0,0,0.0
386849,A. Raihani,530,Atletico Madrid,140,2022,0,0,0,0,0,0.0
