player_id,player_name,team_id,team_name,league_id,season,minutes_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,fouls_per_90
2459,D. Machís,1138,America de Cali,239,2026,633,9,8,2,1,1.28
9942,Jean,1138,America de Cali,239,2026,1447,0,5,4,0,0.0
13177,M. Torres,1138,America de Cali,239,2026,1305,12,11,5,1,0.83
13286,N. Hernández,1138,America de Cali,239,2026,823,10,3,2,1,1.09
13363,R. Carrascal,1138,America de Cali,239,2026,2029,41,26,8,0,1.82
13392,D. Rosero,1138,America de Cali,239,2026,523,5,4,4,0,0.86
13491,Y. Guzmán,1138,America de Cali,239,2026,179,1,8,0,0,0.5
13634,O. Bertel,1138,America de Cali,239,2026,2035,16,6,1,0,0.71
13771,D. Borrero,1138,America de Cali,239,2026,463,6,6,0,0,1.17
35483,A. Mosquera,1138,America de Cali,239,2026,1164,11,7,2,0,0.85
35483,A. Mosquera,1144,Águilas Doradas,239,2026,270,3,3,0,0,1.0
79249,J. Soto,1138,America de Cali,239,2026,726,0,0,1,0,0.0
79249,J. Soto,1144,Águilas Doradas,239,2026,270,0,0,1,0,0.0
375842,M. Castillo,1138,America de Cali,239,2026,1271,11,27,2,0,0.78
434034,J. Escobar,1138,America de Cali,239,2026,1800,30,19,13,0,1.5
439969,B. Correa,1138,America de Cali,239,2026,197,3,2,1,0,1.37
451945,Y. Garcés,1138,America de Cali,239,2026,179,13,4,3,0,6.54
451945,Y. Garcés,1134,Internacional de Bogota,239,2026,36,2,0,0,0,5.0
506562,Joel Romero,1138,America de Cali,239,2026,443,8,1,1,0,1.63
515517,K. Angulo,1138,America de Cali,239,2026,118,3,1,0,0,2.29
538160,J. Cavadia,1138,America de Cali,239,2026,390,3,7,2,0,0.69
538255,T. Palacios,1138,America de Cali,239,2026,1271,24,19,5,0,1.7
638481,Jorge Mosquera,1462,Deportivo Pereira,239,2026,0,0,0,0,0,0.0
313,D. Ospina,1137,Atletico Nacional,239,2026,1086,0,4,0,0,0.0
2437,W. Fariñez,1134,Internacional de Bogota,239,2026,1876,0,5,2,0,0.0
9606,F. Boné,1134,Internacional de Bogota,239,2026,1774,22,29,3,0,1.12
13190,C. Sierra,1138,America de Cali,239,2026,180,3,1,0,0,1.5
13226,J. Caballero,1134,Internacional de Bogota,239,2026,660,8,7,3,0,1.09
13373,L. Vásquez,1134,Internacional de Bogota,239,2026,2136,21,14,3,0,0.88
13642,A. Román,1137,Atletico Nacional,239,2026,2129,22,10,6,1,0.93
13801,Yulián Gómez,1134,Internacional de Bogota,239,2026,1307,24,2,8,0,1.65
51923,F. Sanguinetti,1134,Internacional de Bogota,239,2026,1792,13,8,1,0,0.65
52744,C. Vivas,1134,Internacional de Bogota,239,2026,1944,12,3,7,0,0.56
59410,R. Manjarrés,1134,Internacional de Bogota,239,2026,557,12,5,4,0,1.94
59810,D. Rodas,1134,Internacional de Bogota,239,2026,777,18,6,4,0,2.08
198228,K. Suárez,1134,Internacional de Bogota,239,2026,801,3,14,0,0,0.34
198228,K. Suárez,1127,Deportivo Cali,239,2026,103,2,2,0,0,1.75
297717,D. Quiñonez,1134,Internacional de Bogota,239,2026,1752,34,30,9,0,1.75
346883,A. Irazoque,1134,Internacional de Bogota,239,2026,1852,6,12,3,0,0.29
356517,K. Parra,1134,Internacional de Bogota,239,2026,1556,4,33,1,0,0.23
356517,K. Parra,1137,Atletico Nacional,239,2026,9,0,0,0,0,0.0
411170,S. Mayo,1134,Internacional de Bogota,239,2026,150,4,1,2,0,2.4
411170,S. Mayo,1470,Cucuta,239,2026,130,2,4,0,0,1.38
428788,R. Julio,1134,Internacional de Bogota,239,2026,149,5,1,1,0,3.02
449116,S. Garcia,1137,Atletico Nacional,239,2026,1543,13,1,3,0,0.76
538252,J. Valencia,1134,Internacional de Bogota,239,2026,519,12,6,3,0,2.08
2487,W. Tesillo,1137,Atletico Nacional,239,2026,1666,17,6,3,0,0.92
5352,Juan Francisco Bauza,1137,Atletico Nacional,239,2026,104,0,2,0,0,0.0
5988,M. Casco,1137,Atletico Nacional,239,2026,1738,22,18,6,0,1.14
13305,A. Sarmiento,1137,Atletico Nacional,239,2026,1450,26,36,0,0,1.61
13469,J. Zapata,1137,Atletico Nacional,239,2026,852,15,5,5,1,1.58
13575,C. Haydar,1137,Atletico Nacional,239,2026,1402,10,15,2,0,0.64
13685,S. Palma,1132,Chico,239,2026,180,1,3,0,0,0.5
35655,E. Cardona,1137,Atletico Nacional,239,2026,1045,14,16,7,0,1.21
35794,M. Moreno,1137,Atletico Nacional,239,2026,873,15,20,4,0,1.55
51240,D. Asprilla,1137,Atletico Nacional,239,2026,569,15,4,1,0,2.37
51475,D. Denis,1132,Chico,239,2026,1268,0,4,2,0,0.0
324615,N. Rodríguez,1137,Atletico Nacional,239,2026,1117,20,15,3,0,1.61
352297,Jaime Diaz,1132,Chico,239,2026,96,1,2,0,0,0.94
356518,S. Velásquez,1137,Atletico Nacional,239,2026,696,11,1,1,0,1.42
373770,J. Rengifo,1137,Atletico Nacional,239,2026,1731,28,17,5,1,1.46
491334,E. Rivero,1137,Atletico Nacional,239,2026,34,1,0,0,0,2.65
506657,J. Rosa,1137,Atletico Nacional,239,2026,15,0,0,0,0,0.0
506660,C. Uribe,1137,Atletico Nacional,239,2026,0,0,0,0,0,0.0
555297,K. Catano,1137,Atletico Nacional,239,2026,90,0,0,1,0,0.0
555297,K. Catano,1134,Internacional de Bogota,239,2026,90,1,1,1,0,1.0
606735,M. Lozano,1137,Atletico Nacional,239,2026,80,1,1,0,0,1.12
6264,J. Mena,1131,Bucaramanga,239,2026,1323,21,4,4,0,1.43
6264,J. Mena,1132,Chico,239,2026,180,1,0,0,0,0.5
9873,M. Rea,1131,Bucaramanga,239,2026,732,10,1,2,0,1.23
13235,A. Quintana,1131,Bucaramanga,239,2026,810,0,1,0,0,0.0
13583,F. Hinestroza,1131,Bucaramanga,239,2026,1343,17,12,10,0,1.14
13783,S. Salazar,1132,Chico,239,2026,828,17,11,2,0,1.85
59466,R. Caicedo,1132,Chico,239,2026,450,0,1,1,0,0.0
59607,J. Molina,1132,Chico,239,2026,1450,20,29,6,0,1.24
59887,A. Gutiérrez,1131,Bucaramanga,239,2026,1447,14,15,3,0,0.87
64156,A. Banguero,1132,Chico,239,2026,1351,19,8,6,0,1.27
119584,Í. Montaño,1132,Chico,239,2026,90,0,1,0,0,0.0
125678,J. Díaz,1132,Chico,239,2026,1741,22,19,4,0,1.14
137128,D. Ramírez,1132,Chico,239,2026,1299,18,33,5,0,1.25
195988,J. Pimentel,1132,Chico,239,2026,79,1,1,0,0,1.14
396505,A. Aedo,1132,Chico,239,2026,997,14,6,1,0,1.26
466962,Juan Quiceno,1132,Chico,239,2026,1717,16,16,2,0,0.84
471469,J. Medina,1132,Chico,239,2026,135,0,5,0,0,0.0
555102,A. Saldana,1132,Chico,239,2026,921,16,6,7,0,1.56
614671,Nicolas Valencia,1132,Chico,239,2026,838,19,19,3,0,2.04
634653,J. Romana,1132,Chico,239,2026,160,4,4,2,0,2.25
634654,J. Castillo,1132,Chico,239,2026,140,4,6,0,0,2.57
6695,L. Pons,1131,Bucaramanga,239,2026,1794,19,26,4,0,0.95
11805,R. Ureña,1125,Millonarios,239,2026,1611,12,14,10,0,0.67
13281,B. Caicedo,1131,Bucaramanga,239,2026,418,9,3,3,0,1.94
13294,F. Charrupí,1131,Bucaramanga,239,2026,1443,34,12,3,0,2.12
13359,S. Mosquera,1125,Millonarios,239,2026,1095,12,6,2,0,0.99
13362,D. Banguero,1125,Millonarios,239,2026,557,8,1,2,0,1.29
13589,F. Sambueza,1131,Bucaramanga,239,2026,1584,31,51,7,1,1.76
13598,D. Novoa,1125,Millonarios,239,2026,1350,0,1,4,0,0.0
13598,D. Novoa,1131,Bucaramanga,239,2026,0,0,0,0,0,0.0
13643,S. Vega,1125,Millonarios,239,2026,652,10,5,1,0,1.38
13681,K. Londoño,1131,Bucaramanga,239,2026,1287,11,11,3,0,0.77
13725,F. Salazar,1131,Bucaramanga,239,2026,930,5,21,1,0,0.48
52584,L. Flores,1131,Bucaramanga,239,2026,1076,13,12,1,0,1.09
57718,F. Gil,1131,Bucaramanga,239,2026,100,0,2,0,0,0.0
57718,F. Gil,1133,Jaguares,239,2026,15,1,2,0,0,6.0
59463,A. Zárate,1131,Bucaramanga,239,2026,919,8,6,2,0,0.78
59475,C. Romaña,1131,Bucaramanga,239,2026,900,16,6,3,0,1.6
59882,L. Vásquez,1131,Bucaramanga,239,2026,918,0,3,0,0,0.0
265959,A. Moreno,1125,Millonarios,239,2026,195,3,0,1,0,1.38
326883,J. Mosquera,1131,Bucaramanga,239,2026,671,4,9,2,0,0.54
353407,J. García,1131,Bucaramanga,239,2026,1392,23,6,2,0,1.49
474833,C. Sarabia,1125,Millonarios,239,2026,1188,12,2,0,0,0.91
10297,G. de Amores,1125,Millonarios,239,2026,360,0,0,0,0,0.0
13323,M. Duarte,1470,Cucuta,239,2026,1247,19,8,4,1,1.37
13656,D. Silva,1125,Millonarios,239,2026,895,9,9,3,0,0.91
13738,S. Rodríguez,1470,Cucuta,239,2026,511,3,1,0,1,0.53
13738,S. Rodríguez,1144,Águilas Doradas,239,2026,13,0,0,0,0,0.0
35637,R. Contreras,1125,Millonarios,239,2026,1469,23,37,4,1,1.41
51164,D. Quintero,1125,Millonarios,239,2026,553,4,10,1,0,0.65
59660,M. García,1125,Millonarios,239,2026,1591,30,29,5,1,1.7
59664,S. Orozco,1470,Cucuta,239,2026,529,13,9,3,0,2.21
126093,J. Ceballos,1470,Cucuta,239,2026,480,3,6,0,0,0.56
265960,D. Victoria,1125,Millonarios,239,2026,20,0,0,0,0,0.0
303134,J. Angulo,1125,Millonarios,239,2026,116,2,0,0,0,1.55
308161,J. Cabezas,1125,Millonarios,239,2026,149,2,1,1,0,1.21
308161,J. Cabezas,1142,Deportes Tolima,239,2026,204,6,2,2,0,2.65
351925,B. Castro,1125,Millonarios,239,2026,475,2,6,3,0,0.38
356058,Sebastián Valencia Isaza,1125,Millonarios,239,2026,1494,21,14,5,0,1.27
419766,J. Quiñónes,1470,Cucuta,239,2026,1025,8,1,1,0,0.7
514629,Sebastián Mosquera,1125,Millonarios,239,2026,0,0,0,0,0,0.0
538273,M. Diaz Samuel,1125,Millonarios,239,2026,304,6,2,1,0,1.78
538279,S. Viveros,1125,Millonarios,239,2026,599,10,13,1,0,1.5
554915,A. Ballesteros,1470,Cucuta,239,2026,153,4,0,1,0,2.35
566614,F. Abadia,1470,Cucuta,239,2026,1515,1,1,3,1,0.06
6124,L. Ríos,1470,Cucuta,239,2026,393,6,6,2,1,1.37
13344,J. Agudelo,1470,Cucuta,239,2026,409,9,10,1,1,1.98
16349,S. Támara,1470,Cucuta,239,2026,444,8,4,2,0,1.62
51131,M. Barrios,1136,Once Caldas,239,2026,991,8,17,2,0,0.73
52787,V. Mejía,1470,Cucuta,239,2026,1483,22,21,3,0,1.34
59615,J. Cuesta,1136,Once Caldas,239,2026,2241,15,18,2,0,0.6
81333,J. Cardona,1136,Once Caldas,239,2026,1808,15,3,4,0,0.75
128779,E. Beltrán,1136,Once Caldas,239,2026,203,2,3,1,0,0.89
128779,E. Beltrán,1133,Jaguares,239,2026,39,1,2,2,0,2.31
159163,B. Montaño,1470,Cucuta,239,2026,878,6,5,2,0,0.62
181420,J. Alvarado,1136,Once Caldas,239,2026,926,11,8,5,0,1.07
195721,J. Parra,1136,Once Caldas,239,2026,2250,0,11,3,0,0.0
200154,K. Cuesta,1136,Once Caldas,239,2026,642,12,5,2,0,1.68
306733,L. Berdugo,1470,Cucuta,239,2026,1625,16,57,3,0,0.89
406432,K. Tamayo,1136,Once Caldas,239,2026,1312,16,5,3,0,1.1
406432,K. Tamayo,1470,Cucuta,239,2026,45,0,0,0,0,0.0
408371,E. Arízalas,1470,Cucuta,239,2026,1175,12,21,2,0,0.92
