player_id,player_name,team_id,team_name,league_id,season,minutes_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,fouls_per_90
687,Maycon,1062,Atletico-MG,71,2026,1021,10,6,0,0,0.88
2499,J. Alonso,1062,Atletico-MG,71,2026,917,9,5,2,0,0.88
6031,T. Cuello,1062,Atletico-MG,71,2026,1337,17,29,1,0,1.14
9926,Gustavo Scarpa,1062,Atletico-MG,71,2026,329,2,6,0,0,0.55
9939,Dudu,1062,Atletico-MG,71,2026,345,2,9,0,0,0.52
9967,Igor Gomes,1062,Atletico-MG,71,2026,322,5,5,1,0,1.4
9978,Everson,1062,Atletico-MG,71,2026,1934,0,8,0,0,0.0
10122,Renan Lodi,1062,Atletico-MG,71,2026,1729,34,42,4,1,1.77
10166,Reinier,1062,Atletico-MG,71,2026,712,8,7,1,0,1.01
12705,Hulk,1062,Atletico-MG,71,2026,920,8,32,1,0,0.78
12705,Hulk,124,Fluminense,71,2026,323,1,8,0,0,0.28
16360,A. Franco,1062,Atletico-MG,71,2026,1495,27,7,4,0,1.63
18761,Bernard,1062,Atletico-MG,71,2026,944,12,15,0,0,1.14
30398,Vitor Hugo,1062,Atletico-MG,71,2026,676,5,3,1,0,0.67
129782,Léo Andrade,1198,Remo,71,2026,0,0,0,0,0,0.0
152857,Ruan Tressoldi,1062,Atletico-MG,71,2026,1636,16,14,7,0,0.88
311275,Gabriel Delfim,1062,Atletico-MG,71,2026,0,0,0,0,0,0.0
352371,Victor Hugo,1062,Atletico-MG,71,2026,1420,5,17,1,0,0.32
363323,Alexsander,1062,Atletico-MG,71,2026,95,2,4,1,0,1.89
515580,Kauan Vitor,136,Vitoria,71,2026,0,0,0,0,0,0.0
609544,K. Pascini,1062,Atletico-MG,71,2026,221,1,0,0,0,0.41
899,Andreas Pereira,121,Palmeiras,71,2026,1764,20,19,3,0,1.02
2502,G. Gómez,121,Palmeiras,71,2026,1788,21,3,1,0,1.06
9218,Marlon Freitas,121,Palmeiras,71,2026,1945,25,2,4,0,1.16
10083,Murilo,121,Palmeiras,71,2026,1810,29,3,3,0,1.44
10125,Khellven,121,Palmeiras,71,2026,849,17,7,3,0,1.8
10373,Carlos Miguel,121,Palmeiras,71,2026,2023,0,11,3,0,0.0
51466,J. Piquerez,121,Palmeiras,71,2026,865,5,10,1,0,0.52
106485,Maurício,121,Palmeiras,71,2026,1253,15,18,2,0,1.08
196298,R. Sosa,121,Palmeiras,71,2026,979,18,22,3,0,1.65
197450,Natanael,1062,Atletico-MG,71,2026,970,14,21,0,1,1.3
280695,A. Minda,1062,Atletico-MG,71,2026,468,2,6,0,0,0.38
295513,J. López,121,Palmeiras,71,2026,1494,30,43,2,0,1.81
306706,A. Giay,121,Palmeiras,71,2026,1208,20,23,3,0,1.49
340279,Vitor Roque,121,Palmeiras,71,2026,417,8,22,1,0,1.73
414357,Riquelme Fillipi,121,Palmeiras,71,2026,90,2,1,0,0,2.0
425714,Allan,121,Palmeiras,71,2026,1483,23,36,3,1,1.4
425715,Arthur,121,Palmeiras,71,2026,877,15,9,1,0,1.54
506034,Índio,1062,Atletico-MG,71,2026,0,0,0,0,0,0.0
515668,Vitão,1062,Atletico-MG,71,2026,0,0,0,0,0,0.0
615196,Mamady Cisse,1062,Atletico-MG,71,2026,386,6,10,1,0,1.4
326,Allan,120,Botafogo,71,2026,472,12,5,3,0,2.29
378,Alex Telles,120,Botafogo,71,2026,1592,25,10,4,0,1.41
912,Neto,120,Botafogo,71,2026,857,0,1,0,1,0.0
5933,A. Barboza,120,Botafogo,71,2026,1044,23,1,5,1,1.98
5933,A. Barboza,121,Palmeiras,71,2026,245,6,0,1,0,2.2
8661,Vitinho,120,Botafogo,71,2026,1613,21,17,3,0,1.17
9920,Raphael Veiga,121,Palmeiras,71,2026,0,0,0,0,0,0.0
9938,Arthur Cabral,120,Botafogo,71,2026,1568,30,26,2,0,1.72
10040,Artur,120,Botafogo,71,2026,191,2,4,0,0,0.94
10040,Artur,126,Sao Paulo,71,2026,1055,5,18,1,0,0.43
10372,Marcelo Lomba,121,Palmeiras,71,2026,110,0,0,0,0,0.0
10379,Bruno Fuchs,121,Palmeiras,71,2026,547,5,1,0,0,0.82
51581,S. Rodríguez,120,Botafogo,71,2026,569,14,21,1,0,2.21
153083,E. Martínez,121,Palmeiras,71,2026,471,7,3,1,0,1.34
275170,Danilo Santos,120,Botafogo,71,2026,1341,9,9,1,0,0.6
277169,Newton,120,Botafogo,71,2026,416,3,5,2,0,0.65
277169,Newton,126,Sao Paulo,71,2026,0,0,0,0,0,0.0
297687,M. Ponte,120,Botafogo,71,2026,608,7,7,4,0,1.04
311384,Jefté,121,Palmeiras,71,2026,283,5,1,1,0,1.59
449244,Luighi Hanri,121,Palmeiras,71,2026,167,7,6,2,0,3.77
455130,Álvaro Montoro,120,Botafogo,71,2026,1285,16,29,4,0,1.12
574837,Luis Felipe,121,Palmeiras,71,2026,66,1,0,2,0,1.36
575323,Larson,121,Palmeiras,71,2026,80,2,1,0,0,2.25
652,Marçal,120,Botafogo,71,2026,249,7,1,1,0,2.53
1845,Bartolomeu Jacinto Quissanga,120,Botafogo,71,2026,530,9,2,1,0,1.53
2411,Fágner,135,Cruzeiro,71,2026,1064,18,10,3,0,1.52
10089,Fabrício Bruno,135,Cruzeiro,71,2026,1802,10,5,5,0,0.5
10100,L. Romero,135,Cruzeiro,71,2026,1195,21,22,3,0,1.58
10102,Lucas Silva,135,Cruzeiro,71,2026,634,8,3,5,0,1.14
10229,Cássio,135,Cruzeiro,71,2026,433,0,2,0,0,0.0
25618,Matheus Pereira,135,Cruzeiro,71,2026,1722,33,76,9,0,1.72
30408,Gerson,135,Cruzeiro,71,2026,1562,24,43,3,0,1.38
292166,Léo Linck,120,Botafogo,71,2026,97,0,0,0,0,0.0
305821,Matheus Martins,120,Botafogo,71,2026,1141,10,24,2,0,0.79
309792,Kaiki,135,Cruzeiro,71,2026,1449,36,16,1,1,2.24
410843,J. Barrera,120,Botafogo,71,2026,404,9,5,0,0,2.0
413140,Kauan Toledo,120,Botafogo,71,2026,342,9,9,0,0,2.37
419936,Nathan Fernandes,120,Botafogo,71,2026,78,2,3,0,0,2.31
422150,Jonathan,135,Cruzeiro,71,2026,1274,16,5,3,0,1.13
544681,K. Barria,120,Botafogo,71,2026,297,17,6,2,0,5.15
609493,Arthur Novaes,120,Botafogo,71,2026,0,0,0,0,0,0.0
613321,Kadu Santos,120,Botafogo,71,2026,0,0,0,0,0,0.0
614621,Arthur Izaque,120,Botafogo,71,2026,0,0,0,0,0,0.0
2083,Wanderson,135,Cruzeiro,71,2026,470,8,3,0,0,1.53
9629,Marcos Vinícius,132,Chapecoense-sc,71,2026,588,10,3,2,0,1.53
9666,Victor Caetano,132,Chapecoense-sc,71,2026,654,8,1,2,0,1.1
10008,Kaio Jorge,135,Cruzeiro,71,2026,1269,4,16,1,0,0.28
10109,Léo Vieira,132,Chapecoense-sc,71,2026,642,0,2,0,0,0.0
10109,Léo Vieira,118,Bahia,71,2026,774,0,1,0,0,0.0
10494,Matheus Henrique,135,Cruzeiro,71,2026,990,15,22,3,0,1.36
25398,William,135,Cruzeiro,71,2026,665,10,4,2,0,1.35
36312,Francisco da Costa,135,Cruzeiro,71,2026,213,4,1,0,0,1.69
54866,João Marcelo,135,Cruzeiro,71,2026,530,7,4,0,0,1.19
67204,Christian,135,Cruzeiro,71,2026,1257,19,20,1,0,1.36
70793,W. Clar,132,Chapecoense-sc,71,2026,777,3,1,0,0,0.35
106467,Doma,132,Chapecoense-sc,71,2026,1774,16,3,4,1,0.81
106495,Rafael Carvalheira,132,Chapecoense-sc,71,2026,942,19,4,2,0,1.82
360306,Otávio Eleodoro Rezende Costa,135,Cruzeiro,71,2026,915,0,2,2,0,0.0
405353,Japa,135,Cruzeiro,71,2026,78,1,5,0,0,1.15
405353,Japa,7848,Mirassol,71,2026,267,3,4,0,0,1.01
409849,José,135,Cruzeiro,71,2026,0,0,0,0,0,0.0
414405,K. Arroyo,135,Cruzeiro,71,2026,1109,17,23,5,0,1.38
439566,N. Villareal,135,Cruzeiro,71,2026,576,9,15,0,0,1.41
